id,depth,qr,carbon,lat,lon,elevation,slope,ndvi,gssurgo_c
85b,b,488,0.49,36.2468335,-85.90852797,149.36,16.66,0.6,4496
85a,a,489,1.32,36.2468335,-85.90852797,149.36,16.66,0.6,4496
284b,b,278,1.11,36.24243115,-85.91065576,164.7,191.15,0.72,4370
284a,a,290,2.09,36.24243115,-85.91065576,164.7,191.15,0.72,4370
182a,a,845,0.86,36.24427764,-85.91763607,148.24,314.22,0.7,4496
182b,b,999,0.79,36.24427764,-85.91763607,148.24,314.22,0.7,4496
111b,b,375,0.76,36.24640096,-85.90954783,151,335.1,0.63,4496
111a,a,376,1.55,36.24640096,-85.90954783,151,335.1,0.63,4496
79a,a,419,1.67,36.24565658,-85.90754585,151.58,45.94,0.7,4496
312a,a,957,1.73,36.24340995,-85.90926765,164.95,45.23,0.7,4496
312b,b,958,0.68,36.24340995,-85.90926765,164.95,45.23,0.7,4496
118a,a,633,1.7,36.24331745,-85.90794925,156.65,70.88,0.71,4370
118b,b,646,0.82,36.24331745,-85.90794925,156.65,70.88,0.71,4370
214b,b,730,0.87,36.24326817,-85.91779125,150.1,300.55,0.66,4496
214a,a,835,1.53,36.24326817,-85.91779125,150.1,300.55,0.66,4496
289a,a,992,1.78,36.24001653,-85.90989508,166.36,164.89,0.72,4496
289b,b,995,0.57,36.24001653,-85.90989508,166.36,164.89,0.72,4496
114a,a,623,1.53,36.24433602,-85.90878436,153.3,23.18,0.72,4370
114b,b,627,0.99,36.24433602,-85.90878436,153.3,23.18,0.72,4370
229b,b,728,0.88,36.24319606,-85.91773402,150.25,303.56,0.68,4496
229a,a,836,1.4,36.24319606,-85.91773402,150.25,303.56,0.68,4496
172a,a,766,1.58,36.24591435,-85.91513078,148.49,339.25,0.73,4496
172b,b,767,1.14,36.24591435,-85.91513078,148.49,339.25,0.73,4496
233b,b,985,0.78,36.24240027,-85.91688732,153.31,297.27,0.62,4370
233a,a,987,1.75,36.24240027,-85.91688732,153.31,297.27,0.62,4370
235b,b,982,0.85,36.24235752,-85.9169145,153.47,292.89,0.62,4370
235a,a,984,1.45,36.24235752,-85.9169145,153.47,292.89,0.62,4370
330b,b,885,0.91,36.24200643,-85.90929466,166.06,102.01,0.71,4496
330a,a,889,1.81,36.24200643,-85.90929466,166.06,102.01,0.71,4496
56a,a,756,1.53,36.24556369,-85.91510394,150.48,14.62,0.71,4496
56b,b,761,1.11,36.24556369,-85.91510394,150.48,14.62,0.71,4496
192a,a,737,1.3,36.24392078,-85.91577029,152,283.38,0.79,4370
192b,b,741,0.68,36.24392078,-85.91577029,152,283.38,0.79,4370
204b,b,764,1.12,36.2459645,-85.91524684,148.28,333.44,0.76,6292
204a,a,765,2.04,36.2459645,-85.91524684,148.28,333.44,0.76,6292
225a,a,799,1.52,36.24328655,-85.91790432,150.01,301.53,0.67,4496
225b,b,802,0.9,36.24328655,-85.91790432,150.01,301.53,0.67,4496
218a,a,823,1.85,36.24298645,-85.91881526,148.31,288.26,0.68,4496
218b,b,858,1.34,36.24298645,-85.91881526,148.31,288.26,0.68,4496
191a,a,762,1.84,36.24608906,-85.91513967,147.39,336.91,0.73,4496
191b,b,763,1.36,36.24608906,-85.91513967,147.39,336.91,0.73,4496
9b,b,416,0.87,36.24557413,-85.90788835,152.24,43.75,0.67,4496
9a,a,420,1.59,36.24557413,-85.90788835,152.24,43.75,0.67,4496
139a,a,855,3.01,36.24262028,-85.90810447,160.38,58.6,0.7,4496
139b,b,894,1.7,36.24262028,-85.90810447,160.38,58.6,0.7,4496
360b,b,493,0.72,36.24502497,-85.90858317,152.34,218.42,0.7,4370
360a,a,494,1.62,36.24502497,-85.90858317,152.34,218.42,0.7,4370
1b,b,316,1.1,36.24005072,-85.91206012,171.49,73.4,0.72,4496
1a,a,343,2.01,36.24005072,-85.91206012,171.49,73.4,0.72,4496
336a,a,777,1.67,36.24494916,-85.9165211,149.75,293.87,0.71,4496
336b,b,778,1.4,36.24494916,-85.9165211,149.75,293.87,0.71,4496
238b,b,931,1.06,36.2422804,-85.9166115,154.89,285.07,0.62,4370
238a,a,986,1.72,36.2422804,-85.9166115,154.89,285.07,0.62,4370
302a,a,874,1.77,36.23998053,-85.91631079,153.98,44.84,0.75,4370
302b,b,881,1.2,36.23998053,-85.91631079,153.98,44.84,0.75,4370
28b,b,864,1.23,36.23958008,-85.91670303,163.52,30.05,0.75,4496
28a,a,942,1.94,36.23958008,-85.91670303,163.52,30.05,0.75,4496
321a,a,939,1.82,36.23957037,-85.91671285,163.52,30.05,0.75,4496
321b,b,941,1.16,36.23957037,-85.91671285,163.52,30.05,0.75,4496
75b,b,849,0.75,36.24180728,-85.90929334,166.01,83.02,0.69,4496
75a,a,856,1.73,36.24180728,-85.90929334,166.01,83.02,0.69,4496
158b,b,624,1.02,36.24375295,-85.9072942,150.85,80.13,0.72,4370
158a,a,644,2.18,36.24375295,-85.9072942,150.85,80.13,0.72,4370
115b,b,339,1.14,36.23987414,-85.91088427,171.08,171.49,0.8,4496
115a,a,496,4.05,36.23987414,-85.91088427,171.08,171.49,0.8,4496
31a,a,340,2.31,36.24730261,-85.90904044,148.14,18.72,0.61,4496
31b,b,341,1.22,36.24730261,-85.90904044,148.14,18.72,0.61,4496
96b,b,398,0.77,36.24450648,-85.90777699,152.35,205.5,0.72,4370
96a,a,407,1.8,36.24450648,-85.90777699,152.35,205.5,0.72,4370
255a,a,852,1.69,36.24065731,-85.91546399,153.82,246.4,0.73,4370
255b,b,913,1.04,36.24065731,-85.91546399,153.82,246.4,0.73,4370
80b,b,280,1.15,36.24716753,-85.90788904,146.72,31.2,0.59,6292
80a,a,490,2.05,36.24716753,-85.90788904,146.72,31.2,0.59,6292
281a,a,291,2.16,36.2450371,-85.90842785,152.44,216.35,0.7,4370
281b,b,301,0.83,36.2450371,-85.90842785,152.44,216.35,0.7,4370
15a,a,608,1.65,36.24316003,-85.90763504,153.64,81.6,0.71,4496
15b,b,654,1.16,36.24316003,-85.90763504,153.64,81.6,0.71,4496
193b,b,304,0.66,36.24591497,-85.91174271,153.96,357.87,0.67,4370
193a,a,349,1.48,36.24591497,-85.91174271,153.96,357.87,0.67,4370
57b,b,709,0.97,36.24064211,-85.91679381,152.04,56.39,0.73,4370
57a,a,989,2.05,36.24064211,-85.91679381,152.04,56.39,0.73,4370
303a,a,477,1.84,36.24433983,-85.90661805,150.56,114.74,0.67,4370
303b,b,478,1.09,36.24433983,-85.90661805,150.56,114.74,0.67,4370
353b,b,571,0.78,36.23986099,-85.91364187,169.58,278.25,0.44,4370
353a,a,576,1.95,36.23986099,-85.91364187,169.58,278.25,0.44,4370
39b,b,564,1.19,36.24662412,-85.90700972,147.84,28.53,0.65,6292
39a,a,567,1.81,36.24662412,-85.90700972,147.84,28.53,0.65,6292
271b,b,682,0.84,36.2447505,-85.91149196,158.99,351.53,0.5,4370
271a,a,683,1.69,36.2447505,-85.91149196,158.99,351.53,0.5,4370
90a,a,438,1.4,36.24400975,-85.91083223,166.03,91.16,0.76,4496
90b,b,440,0.81,36.24400975,-85.91083223,166.03,91.16,0.76,4496
51b,b,338,1.35,36.24008862,-85.91209627,171.42,35,0.72,4496
51a,a,350,2.16,36.24008862,-85.91209627,171.42,35,0.72,4496
256b,b,929,1.18,36.24260912,-85.91625734,154.79,329.28,0.59,4370
256a,a,930,1.85,36.24260912,-85.91625734,154.79,329.28,0.59,4370
237a,a,831,1.25,36.2423519,-85.91787645,150.81,271.35,0.6,4496
237b,b,834,0.7,36.2423519,-85.91787645,150.81,271.35,0.6,4496
127a,a,370,1.92,36.24566303,-85.9091103,152.39,261.9,0.66,4496
127b,b,372,0.98,36.24566303,-85.9091103,152.39,261.9,0.66,4496
291b,b,429,0.79,36.24467263,-85.90775572,152.59,218.96,0.72,4370
291a,a,430,1.94,36.24467263,-85.90775572,152.59,218.96,0.72,4370
113a,a,704,1.4,36.24278786,-85.90965437,167.65,16.06,0.67,4496
113b,b,705,0.54,36.24278786,-85.90965437,167.65,16.06,0.67,4496
73b,b,961,1.01,36.24318023,-85.9087568,163.31,54.38,0.7,4496
73a,a,962,2.01,36.24318023,-85.9087568,163.31,54.38,0.7,4496
38b,b,324,0.94,36.24610998,-85.90646173,148.53,35.05,0.61,6292
38a,a,325,1.47,36.24610998,-85.90646173,148.53,35.05,0.61,6292
148a,a,436,1.67,36.24420444,-85.910915,165.92,11.15,0.71,4496
331b,b,497,1.4,36.24575039,-85.90805324,152.28,53.1,0.69,4496
331a,a,498,1.84,36.24575039,-85.90805324,152.28,53.1,0.69,4496
74a,a,342,2.6,36.24762024,-85.90991122,147.48,16.46,0.68,4496
74b,b,346,1.27,36.24762024,-85.90991122,147.48,16.46,0.68,4496
18a,a,955,1.85,36.24340537,-85.90885603,162.94,51.31,0.73,4496
18b,b,960,1.01,36.24340537,-85.90885603,162.94,51.31,0.73,4496
107a,a,619,1.55,36.24362063,-85.90733026,151.05,76,0.72,4370
107b,b,641,0.99,36.24362063,-85.90733026,151.05,76,0.72,4370
169b,b,729,0.8,36.24302299,-85.91719569,151.37,317.73,0.73,4496
169a,a,733,1.6,36.24302299,-85.91719569,151.37,317.73,0.73,4496
161a,a,877,1.97,36.23986237,-85.91752636,162.81,25.98,0.75,4496
161b,b,911,1.24,36.23986237,-85.91752636,162.81,25.98,0.75,4496
293b,b,470,0.94,36.24501406,-85.90872944,152.33,0,0.66,4370
293a,a,665,2.13,36.24501406,-85.90872944,152.33,0,0.66,4370
219a,a,719,1.55,36.24315809,-85.91822968,149.56,295.46,0.67,4496
219b,b,720,1.2,36.24315809,-85.91822968,149.56,295.46,0.67,4496
